epoch,config,val_loss,recall_iou05,avg_max_iou,encoder_lr,head_lr
1,A,6.5668,59.04,0.4933,5.3e-05,0.0001
2,A,5.6702,65.4,0.5454,7.7e-05,0.0001
3,A,5.3161,67.79,0.568,0.0001,0.0001
4,A,5.0546,68.95,0.5802,0.0001,0.0001
5,A,4.8632,71.17,0.5983,0.0001,0.0001
6,A,4.7881,71.49,0.6013,0.0001,0.0001
7,A,4.6682,72.83,0.6154,0.0001,0.0001
8,A,4.5996,72.35,0.6144,0.0001,0.0001
9,A,4.5974,72.44,0.6142,0.0001,0.0001
10,A,4.4467,74.68,0.6298,0.0001,0.0001
11,A,4.4413,73.95,0.6275,0.0001,0.0001
12,A,4.4657,73.94,0.6244,0.0001,0.0001
13,A,4.3593,74.77,0.6335,0.0001,0.0001
14,A,4.3341,74.7,0.6343,0.0001,0.0001
15,A,4.3408,74.83,0.6349,0.0001,0.0001
16,A,4.2602,75.93,0.6451,0.0001,0.0001
17,A,4.238,75.81,0.6435,0.0001,0.0001
18,A,4.293,74.64,0.637,0.0001,0.0001
19,A,4.2465,75.6,0.6435,0.0001,0.0001
20,A,4.2391,75.85,0.646,0.0001,0.0001
21,A,4.2027,76.12,0.6468,0.0001,0.0001
22,A,4.219,75.62,0.6456,0.0001,0.0001
23,A,4.1781,75.96,0.6473,0.0001,0.0001
24,A,4.2035,75.74,0.6451,0.0001,0.0001
25,A,4.191,75.79,0.6471,0.0001,0.0001
26,A,4.1725,75.55,0.6468,0.0001,0.0001
27,A,4.177,75.82,0.6484,0.0001,0.0001
28,A,4.1217,76.55,0.6537,0.0001,0.0001
29,A,4.1412,76.17,0.6492,0.0001,0.0001
30,A,4.1473,76.12,0.6493,0.0001,0.0001
31,A,4.0956,76.62,0.6539,0.0001,0.0001
32,A,4.1207,76.35,0.6516,0.0001,0.0001
33,A,4.1165,76.39,0.6548,0.0001,0.0001
34,A,4.0722,76.52,0.6553,0.0001,0.0001
35,A,4.0814,76.82,0.6556,0.0001,0.0001
36,A,4.1022,76.0,0.6508,0.0001,0.0001
37,A,4.0535,76.48,0.657,0.0001,0.0001
38,A,4.0431,76.87,0.6595,0.0001,0.0001
39,A,4.0635,76.31,0.6558,0.0001,0.0001
40,A,4.0885,76.16,0.6539,0.0001,0.0001
41,A,4.0443,76.93,0.6591,0.0001,0.0001
42,A,4.0186,77.04,0.661,0.0001,0.0001
43,A,4.0266,77.01,0.6589,0.0001,0.0001
44,A,4.026,76.85,0.6575,0.0001,0.0001
45,A,4.0718,76.54,0.6567,0.0001,0.0001
46,A,4.0782,76.74,0.656,7.5e-05,7.5e-05
47,A,3.9705,77.35,0.6637,7.5e-05,7.5e-05
48,A,3.9217,77.58,0.6673,7.5e-05,7.5e-05
49,A,3.9127,77.56,0.6683,7.5e-05,7.5e-05
50,A,3.9218,77.83,0.669,7.5e-05,7.5e-05
51,B,4.4202,75.16,0.6493,5.3e-05,5.3e-05
52,B,4.4573,74.58,0.6452,5.1e-05,5.1e-05
53,B,4.4072,75.05,0.6482,5e-05,5e-05
54,B,4.428,74.87,0.6478,4.8e-05,4.8e-05
55,B,4.3692,75.13,0.6498,4.6e-05,4.6e-05
56,B,4.3426,75.55,0.6529,4.5e-05,4.5e-05
57,B,4.3716,75.34,0.6518,4.3e-05,4.3e-05
58,B,4.2979,76.04,0.6577,4.2e-05,4.2e-05
59,B,4.3293,75.79,0.6538,4e-05,4e-05
60,B,4.2999,76.0,0.6576,3.9e-05,3.9e-05
61,B,4.266,76.07,0.6581,3.7e-05,3.7e-05
62,B,4.2673,76.35,0.6606,3.6e-05,3.6e-05
63,B,4.2287,76.18,0.6615,3.4e-05,3.4e-05
64,B,4.2306,76.26,0.662,3.2e-05,3.2e-05
65,B,4.2388,76.17,0.6617,3.1e-05,3.1e-05
66,B,4.2148,76.58,0.6629,3e-05,3e-05
67,B,4.2038,76.46,0.6638,2.8e-05,2.8e-05
68,B,4.1615,76.8,0.6664,2.7e-05,2.7e-05
69,B,4.1774,76.66,0.6657,2.5e-05,2.5e-05
70,B,4.1709,76.64,0.6662,2.4e-05,2.4e-05
71,B,4.1646,76.57,0.6655,2.3e-05,2.3e-05
72,B,4.149,76.93,0.6678,2.1e-05,2.1e-05
73,B,4.145,76.87,0.6673,2e-05,2e-05
74,B,4.1386,76.98,0.6676,1.9e-05,1.9e-05
75,B,4.1218,76.97,0.6708,1.8e-05,1.8e-05
76,B,4.1007,77.26,0.6703,1.6e-05,1.6e-05
77,B,4.0906,77.15,0.6707,1.5e-05,1.5e-05
78,B,4.0977,77.15,0.6704,1.4e-05,1.4e-05
79,B,4.0859,77.29,0.6717,1.3e-05,1.3e-05
80,B,4.0791,77.33,0.6716,1.2e-05,1.2e-05
81,B,4.0726,77.26,0.6718,1.1e-05,1.1e-05
82,B,4.0597,77.45,0.6734,1e-05,1e-05
83,B,4.0555,77.35,0.6737,9e-06,9e-06
84,B,4.0455,77.62,0.6747,8e-06,8e-06
85,B,4.0466,77.53,0.6736,7e-06,7e-06
86,B,4.0483,77.31,0.6732,7e-06,7e-06
87,B,4.0267,77.65,0.675,6e-06,6e-06
88,B,4.0346,77.54,0.6746,5e-06,5e-06
89,B,4.0279,77.68,0.6757,5e-06,5e-06
90,B,4.028,77.49,0.6753,4e-06,4e-06
91,B,4.027,77.65,0.6758,4e-06,4e-06
92,B,4.0195,77.67,0.6754,3e-06,3e-06
93,B,4.0219,77.62,0.6756,3e-06,3e-06
94,B,4.0166,77.81,0.6766,2e-06,2e-06
95,B,4.0122,77.88,0.6774,2e-06,2e-06
96,B,4.0203,77.69,0.6761,2e-06,2e-06
97,B,4.0149,77.75,0.6769,1e-06,1e-06
98,B,4.0159,77.82,0.6768,1e-06,1e-06
99,B,4.0119,77.76,0.677,1e-06,1e-06
100,B,4.0123,77.72,0.677,1e-06,1e-06
